iter	Passed	Remaining
482	675	723
483	677	721
484	679	721
485	680	719
486	682	719
487	684	718
488	686	716
489	687	715
490	689	714
491	690	713
492	692	711
493	693	710
494	695	709
495	696	707
496	697	706
497	699	704
498	703	706
499	706	706
500	708	705
501	710	704
502	711	703
503	714	702
504	716	702
505	719	702
506	721	701
507	723	700
508	725	699
509	726	697
510	727	695
511	729	695
512	731	694
513	732	692
514	733	690
515	734	689
516	737	688
517	738	687
518	740	685
519	741	684
520	743	683
521	745	682
522	746	681
523	748	679
524	749	678
525	752	677
526	753	676
527	754	674
528	756	673
529	758	672
530	759	671
531	761	669
532	762	667
533	763	666
534	765	665
535	767	664
536	768	662
537	769	660
538	772	660
539	773	658
540	774	657
541	775	655
542	776	653
543	779	653
544	781	652
545	782	650
546	784	649
547	786	648
548	788	647
549	789	645
550	790	644
551	792	642
552	794	642
553	795	640
554	796	638
555	797	637
556	800	636
557	802	635
558	803	633
559	804	631
560	806	630
561	807	629
562	808	627
563	810	626
564	811	624
565	813	623
566	815	622
567	816	621
568	818	619
569	819	618
570	823	618
571	824	617
572	826	615
573	828	614
574	829	613
575	830	611
576	831	609
577	834	609
578	835	607
579	837	606
580	838	604
581	840	603
582	843	603
583	844	601
584	845	599
585	847	598
586	848	597
587	851	596
588	852	594
589	853	593
590	855	591
591	857	591
592	859	589
593	860	588
594	862	587
595	863	585
596	865	583
597	866	582
598	869	581
599	870	580
600	871	578
601	873	577
602	876	576
603	879	576
604	881	575
605	883	574
606	885	573
607	887	572
608	888	570
609	890	569
610	891	567
611	893	566
612	894	564
613	896	563
614	898	562
615	899	560
616	900	558
617	901	557
618	903	556
619	905	554
620	906	553
621	907	551
622	909	550
623	910	548
624	912	547
625	913	545
626	914	544
627	915	542
628	917	541
629	919	539
630	920	538
631	921	536
632	923	535
633	924	533
634	925	532
635	927	530
636	928	528
637	929	527
638	930	525
639	931	524
640	932	522
641	933	520
642	934	519
643	936	517
644	937	516
645	938	514
646	939	512
647	941	511
648	942	509
649	943	508
650	944	506
651	946	504
652	947	503
653	948	501
654	949	500
655	950	498
656	951	496
657	953	495
658	954	493
659	955	492
660	957	490
661	958	489
662	960	488
663	961	486
664	962	484
665	963	483
666	965	481
667	966	480
668	967	478
669	968	476
670	969	475
671	971	474
672	972	472
673	973	470
674	974	469
675	976	467
676	979	467
677	982	466
678	984	465
679	986	464
680	987	462
681	988	461
682	990	459
683	991	458
684	992	456
685	993	454
686	995	453
687	996	451
688	997	450
689	998	448
690	999	447
691	1000	445
692	1002	443
693	1003	442
694	1004	440
695	1006	439
696	1007	438
697	1008	436
698	1009	434
699	1011	433
700	1012	431
701	1013	430
702	1014	428
703	1016	427
704	1017	425
705	1018	424
706	1019	422
707	1021	421
708	1022	419
709	1024	418
710	1025	416
711	1026	415
712	1027	413
713	1029	412
714	1030	410
715	1031	409
716	1032	407
717	1034	406
718	1035	404
719	1036	403
720	1037	401
721	1039	400
722	1040	398
723	1042	397
724	1043	395
725	1044	394
726	1046	392
727	1047	391
728	1049	390
729	1050	388
730	1052	387
731	1054	386
732	1057	385
733	1060	384
734	1063	383
735	1065	382
736	1066	380
737	1067	379
738	1069	377
739	1071	376
740	1074	375
741	1076	374
742	1079	373
743	1081	372
744	1083	370
745	1085	369
746	1086	368
747	1089	367
748	1092	366
749	1095	365
750	1097	363
751	1099	362
752	1101	361
753	1104	360
754	1106	359
755	1110	358
756	1112	357
757	1114	355
758	1116	354
759	1119	353
760	1120	352
761	1122	350
762	1123	349
763	1124	347
764	1127	346
765	1128	344
766	1130	343
767	1133	342
768	1134	340
769	1135	339
770	1137	337
771	1139	336
772	1140	334
773	1141	333
774	1143	332
775	1146	331
776	1149	329
777	1150	328
778	1152	326
779	1154	325
780	1155	324
781	1156	322
782	1158	321
783	1161	320
784	1163	318
785	1164	317
786	1166	315
787	1168	314
788	1169	312
789	1171	311
790	1173	309
