date,start_stop_alige_count_,start_stop_alige_count_Alive,start_stop_alige_count_Start,start_stop_alige_count_Stop,type__count_Billing-Accounting,type__count_Billing-Authentication,mean_delay,mean_input_trafic,mean_output_trafic,count_failed
2020-04-22 16:00:00,72955,199760,77543,39367,355412,34213,0.18783443106101502,3415846541.736889,14449111060.8146,2899
2020-04-22 17:00:00,73255,199263,78829,37976,354842,34481,0.18495637428143552,2784817304.1199718,12554919823.610224,2884
2020-04-22 18:00:00,68767,200442,74601,37661,348946,32525,0.18291040678212098,3378070091.294221,14520778086.263771,2852
2020-04-22 19:00:00,69230,203384,75216,37369,352136,33063,0.1951416118235155,2852125198.0902376,12584432398.268532,2942
2020-04-22 20:00:00,69696,200241,74747,40802,353439,32047,0.2135669768655732,3184157397.401957,14421999284.127996,2915
2020-04-22 21:00:00,68116,206126,66314,42009,351646,30919,0.2494934432836793,2973913527.767997,12721563023.610006,3120
2020-04-22 22:00:00,65014,195536,55418,43813,330634,29147,0.2289947295115144,3205650772.570347,14318346192.841013,2938
2020-04-22 23:00:00,58046,194683,44972,38165,310016,25850,0.2835822136595473,3275266988.4143305,14187802104.14134,2866
2020-04-23 00:00:00,50072,214378,38730,33312,311858,24634,0.2768065183569212,2944424771.495425,13676982719.08622,2766
2020-04-23 01:00:00,42921,208710,31487,22137,282862,22393,0.2108533297720056,3637599427.4428296,14646616237.957182,2663
2020-04-23 02:00:00,38855,166634,27430,15545,226831,21633,0.21443904830435626,2866569334.5071173,13619659147.139406,2648
2020-04-23 03:00:00,35446,158607,23660,12564,210346,19931,0.21869146213016505,3972202543.5716624,16239744395.14094,2613
2020-04-23 04:00:00,34528,152944,23577,10485,201768,19766,0.2160195974358181,2955169277.2116823,14066389429.608091,2598
2020-04-23 05:00:00,35132,156565,26642,9955,207514,20780,0.21067884383617103,4214709205.122376,17070578583.750412,2681
2020-04-23 06:00:00,37901,184174,36713,12966,249351,22403,0.20867404442820728,3275421945.7125444,14668565563.663229,2717
2020-04-23 07:00:00,44812,199533,53614,18442,290616,25785,0.1991237054516822,4058264992.2466016,16939274331.883131,2677
2020-04-23 08:00:00,52449,168447,67347,21335,279640,29938,0.19224749512827505,3426036939.655184,15037220062.242054,2763
2020-04-23 09:00:00,58589,187461,67588,29038,310652,32024,0.2066796552792688,3987929353.649638,16971253718.935097,2796
2020-04-23 10:00:00,59924,189917,64962,28301,312036,31068,0.21655922348905385,2983598586.3836484,13491366847.7715,2869
2020-04-23 11:00:00,60896,202464,62282,29821,323901,31562,0.21590732286300146,3723240852.600456,15810200579.862331,2853
2020-04-23 12:00:00,59628,195161,57896,28977,310407,31255,0.1901152970515693,2983196828.062345,13284063742.908129,2873
2020-04-23 13:00:00,61759,200096,57746,33994,321465,32130,0.19704563612535567,3645158423.109086,15919818297.73506,2899
2020-04-23 14:00:00,62332,195207,63510,32023,320602,32470,0.19143330648181092,2905385137.5984025,13240272637.71334,2783
2020-04-23 15:00:00,64721,196268,69185,33961,330969,33166,0.1903808859431962,3705536835.509106,15766165508.480719,2749
2020-04-23 16:00:00,64947,196538,69165,36679,334363,32966,0.19125640352107065,2891753394.7186656,13146833315.047304,2673
2020-04-23 17:00:00,62078,197223,65045,33696,325999,32043,0.19192556724090906,3597021621.3323975,15359991452.181469,2595
2020-04-23 18:00:00,56446,201486,58000,29275,315085,30122,0.19660427820858134,2992185475.752744,13502375613.053228,2602
2020-04-23 19:00:00,53292,201046,52904,27183,305456,28969,0.21191548758146966,3553494755.276985,15530081311.102776,2610
2020-04-23 20:00:00,53674,206155,49345,28278,307686,29766,0.2318545336188649,3077359763.040237,13544986071.669151,2710
2020-04-23 21:00:00,52442,200556,41513,30324,296342,28493,0.2642764523673258,3372683595.3590913,15418468077.076515,2674
2020-04-23 22:00:00,50608,203112,34118,34613,296519,25932,0.24233536146753326,3266798107.85307,13922286754.021992,2507
2020-04-23 23:00:00,45503,188874,29167,29842,269831,23555,0.26680515816869665,3512892897.814143,15954513121.98532,2447
2020-04-24 00:00:00,39274,220283,23639,26462,286871,22787,0.26675055163368444,3319872579.704857,14065228119.49793,2404
2020-04-24 01:00:00,36286,210210,20965,17595,263172,21884,0.21334452722294,3211092704.522201,15181909491.128902,2375
2020-04-24 02:00:00,37988,168087,23927,15303,222742,22563,0.21276439323123733,3779691270.1664047,15190218925.233187,2390
2020-04-24 03:00:00,36004,162196,21889,11667,210398,21358,0.211002711897184,2945536024.570869,14345288182.99628,2381
2020-04-24 04:00:00,33750,156225,20608,9471,199678,20376,0.21416291083799846,4204324162.6671133,17065713484.266941,2321
2020-04-24 05:00:00,34564,153934,24760,9255,201108,21405,0.2091159570774751,3044730720.22026,14655965091.450485,2319
2020-04-24 06:00:00,38481,190946,36562,15603,258412,23180,0.20952698888431195,4453777281.993504,17675277252.69783,2351
2020-04-24 07:00:00,44096,191979,53307,17535,280472,26445,0.19395008758025192,3248873213.943345,14626385477.523087,2414
2020-04-24 08:00:00,48885,176523,63349,20766,280226,29297,0.19826626008584197,4451766648.164277,18845458558.845192,2516
2020-04-24 09:00:00,51186,180895,59292,24198,286301,29270,0.2192859750114492,3305280266.507326,14675873611.566097,2465
2020-04-24 10:00:00,52960,197850,54052,26132,302491,28503,0.21455118653861666,3930838038.976181,16775127141.046566,2504
2020-04-24 11:00:00,54329,192942,55708,25953,298978,29954,0.20559180547480055,3070245110.166833,13977666648.054659,2515
2020-04-24 12:00:00,56368,201257,55392,27829,310536,30310,0.2068592032002075,3829252461.7997093,16351074515.28319,2649
2020-04-24 13:00:00,58258,193878,56609,30372,308931,30186,0.20267484696422405,3051931172.450069,13772823993.114029,2742
2020-04-24 14:00:00,55896,200857,52629,27201,306728,29855,0.20680220364713495,3803616628.4204025,16430084411.534294,2724
2020-04-24 15:00:00,53501,196974,51811,26552,300390,28448,0.2112136405549616,3088634676.015327,14052429952.428492,2618
2020-04-24 16:00:00,50657,199567,50096,25764,300401,25683,0.21404528202978595,3909740083.884397,16558021612.712334,2588
2020-04-24 17:00:00,52055,198189,55531,31153,309717,27211,0.21077774104403427,3162596565.974614,14471883942.191881,2608
2020-04-24 18:00:00,57552,195036,69674,41696,333973,29985,0.19393459473346836,3756792635.5570006,16186924805.44542,2597
2020-04-24 19:00:00,44258,196453,44110,22482,282116,25187,0.20873256963485398,3203542922.423423,14241000756.693825,2730
2020-04-24 20:00:00,45656,204179,44098,25052,293959,25026,0.22607803728777026,3523935772.0774765,15205624439.669325,2717
2020-04-24 21:00:00,43925,201401,36219,26629,284630,23544,0.276928292307305,3193282167.713314,13939989267.220295,2660
2020-04-24 22:00:00,44940,199663,31649,30538,284122,22668,0.251016025017735,3334364417.508755,15185090832.010471,2569
2020-04-24 23:00:00,41962,192952,26853,28817,269625,20959,0.31055550254282466,3528349133.2396727,14895730827.903656,2545
2020-04-25 00:00:00,36007,218252,24024,26905,285514,19674,0.3082319874989109,3236623519.368225,14347366708.430069,2519
2020-04-25 01:00:00,36249,211349,26901,22586,277986,19099,0.2223421694536013,3480099196.3527822,14597685688.659397,2475
2020-04-25 02:00:00,34078,168650,25509,17152,227285,18104,0.22420842175531647,2949373851.9836226,14480222800.581856,2465
2020-04-25 03:00:00,32651,157720,23793,13365,210075,17454,0.22749744738898556,3949027021.1150312,15608420954.13854,2451
2020-04-25 04:00:00,31368,158842,22841,11402,207196,17257,0.22111730953873812,3002714506.4513397,14493188717.251492,2407
2020-04-25 05:00:00,32716,152602,26972,11424,205804,17910,0.2111826802037161,4225065796.334947,17029738199.557291,2470
2020-04-25 06:00:00,36585,187211,36892,13743,254738,19693,0.21031716960924196,3408290438.455264,15424403615.5617,2560
2020-04-25 07:00:00,39691,194886,44163,14997,271508,22229,0.20647463581211264,4324952465.644368,17208623472.098606,2577
2020-04-25 08:00:00,46699,166917,56792,19204,263737,25875,0.20427374060222936,3508725605.738364,15927472580.444775,2625
2020-04-25 09:00:00,53541,178960,64351,25283,294716,27419,0.21511246806047898,4257452015.458968,18000787278.118103,2673
2020-04-25 10:00:00,56933,186248,67624,30052,313902,26955,0.19912262300440706,3143772441.794573,13932368390.65603,2679
2020-04-25 11:00:00,63075,194488,74283,34881,339039,27688,0.1949445002806276,3827593451.846474,16259656127.08717,2648
2020-04-25 12:00:00,67443,187326,80085,38883,345639,28098,0.18620280584159726,2972043612.165838,13515865929.280323,2591
2020-04-25 13:00:00,109532,166016,215939,72581,511684,52384,0.1388712019587083,3526507138.140429,15389310697.0475,5667
2020-04-25 14:00:00,84018,125280,145689,38566,355294,38259,0.13859296126439608,2979505667.232566,12995393307.951698,2559
2020-04-25 15:00:00,71134,200882,75747,34666,352851,29578,0.1646017289547482,2932090238.656372,12209451901.084991,2620
2020-04-25 16:00:00,61335,182998,60449,27660,304759,27683,0.16853241996047547,2357066289.082513,10342434614.946465,2586
2020-04-25 17:00:00,55463,173467,54323,25603,282020,26836,0.19268880818185816,3607926402.3738937,14313700453.506437,2546
2020-04-25 18:00:00,52286,218401,45759,22709,312379,26776,0.20132345502714166,2159332216.6895857,9482027223.178823,2623
2020-04-25 19:00:00,47569,156780,44506,22310,245051,26114,0.20994468498255575,3904529262.696113,15555512328.758038,2604
